Home Team,Away Team,Score
Aston Villa FC,Fulham FC,3 - 1
Brighton & Hove Albion FC,Sheffield United FC,1 - 1
Liverpool FC,Brentford FC,3 - 0
West Ham United FC,Nottingham Forest FC,3 - 2
Chelsea FC,Manchester City FC,4 - 4
Manchester City FC,Liverpool FC,1 - 1
Burnley FC,West Ham United FC,1 - 2
Luton Town FC,Crystal Palace FC,2 - 1
Newcastle United FC,Chelsea FC,4 - 1
Nottingham Forest FC,Brighton & Hove Albion FC,2 - 3
Sheffield United FC,AFC Bournemouth,1 - 3
Brentford FC,Arsenal FC,0 - 1
Tottenham Hotspur FC,Aston Villa FC,1 - 2
Everton FC,Manchester United FC,0 - 3
Fulham FC,Wolverhampton Wanderers FC,3 - 2
Arsenal FC,Wolverhampton Wanderers FC,2 - 1
Brentford FC,Luton Town FC,3 - 1
Burnley FC,Sheffield United FC,5 - 0
Nottingham Forest FC,Everton FC,0 - 1
Newcastle United FC,Manchester United FC,1 - 0
AFC Bournemouth,Aston Villa FC,2 - 2
Chelsea FC,Brighton & Hove Albion FC,3 - 2
Liverpool FC,Fulham FC,4 - 3
West Ham United FC,Crystal Palace FC,1 - 1
Manchester City FC,Tottenham Hotspur FC,3 - 3
Wolverhampton Wanderers FC,Burnley FC,1 - 0
Luton Town FC,Arsenal FC,3 - 4
Brighton & Hove Albion FC,Brentford FC,2 - 1
Fulham FC,Nottingham Forest FC,5 - 0
Sheffield United FC,Liverpool FC,0 - 2
Crystal Palace FC,AFC Bournemouth,0 - 2
Aston Villa FC,Manchester City FC,1 - 0
Manchester United FC,Chelsea FC,2 - 1
Everton FC,Newcastle United FC,3 - 0
Tottenham Hotspur FC,West Ham United FC,1 - 2
Crystal Palace FC,Liverpool FC,1 - 2
Brighton & Hove Albion FC,Burnley FC,1 - 1
Manchester United FC,AFC Bournemouth,0 - 3
Sheffield United FC,Brentford FC,1 - 0
Wolverhampton Wanderers FC,Nottingham Forest FC,1 - 1
Aston Villa FC,Arsenal FC,1 - 0
Everton FC,Chelsea FC,2 - 0
Fulham FC,West Ham United FC,5 - 0
Luton Town FC,Manchester City FC,1 - 2
Tottenham Hotspur FC,Newcastle United FC,4 - 1
Nottingham Forest FC,Tottenham Hotspur FC,0 - 2
Chelsea FC,Sheffield United FC,2 - 0
Manchester City FC,Crystal Palace FC,2 - 2
Newcastle United FC,Fulham FC,3 - 0
Burnley FC,Everton FC,0 - 2
Arsenal FC,Brighton & Hove Albion FC,2 - 0
Brentford FC,Aston Villa FC,1 - 2
West Ham United FC,Wolverhampton Wanderers FC,3 - 0
Liverpool FC,Manchester United FC,0 - 0
Crystal Palace FC,Brighton & Hove Albion FC,1 - 1
Aston Villa FC,Sheffield United FC,1 - 1
West Ham United FC,Manchester United FC,2 - 0
Fulham FC,Burnley FC,0 - 2
Luton Town FC,Newcastle United FC,1 - 0
Nottingham Forest FC,AFC Bournemouth,2 - 3
Tottenham Hotspur FC,Everton FC,2 - 1
Liverpool FC,Arsenal FC,1 - 1
Wolverhampton Wanderers FC,Chelsea FC,2 - 1
Newcastle United FC,Nottingham Forest FC,1 - 3
AFC Bournemouth,Fulham FC,3 - 0
Sheffield United FC,Luton Town FC,2 - 3
Burnley FC,Liverpool FC,0 - 2
Manchester United FC,Aston Villa FC,3 - 2
Brentford FC,Wolverhampton Wanderers FC,1 - 4
Chelsea FC,Crystal Palace FC,2 - 1
Everton FC,Manchester City FC,1 - 3
Brighton & Hove Albion FC,Tottenham Hotspur FC,4 - 2
Arsenal FC,West Ham United FC,0 - 2
Luton Town FC,Chelsea FC,2 - 3
Aston Villa FC,Burnley FC,3 - 2
Crystal Palace FC,Brentford FC,3 - 1
Manchester City FC,Sheffield United FC,2 - 0
Wolverhampton Wanderers FC,Everton FC,3 - 0
Nottingham Forest FC,Manchester United FC,2 - 1
Fulham FC,Arsenal FC,2 - 1
